Iterator T GF Best_GF
1 10 95237 95237
2 10 92412 92412
3 10 91617 91617
4 10 85575 85575
5 10 84596 84596
6 10 84596 84596
7 10 81748 81748
8 10 81748 81748
9 10 81748 81748
10 10 81748 81748
11 9.99 81748 81748
12 9.99 81748 81748
13 9.99 81748 81748
14 9.99 81748 81748
15 9.99 81748 81748
16 9.99 81748 81748
17 9.99 81748 81748
18 9.99 81748 81748
19 9.99 81748 81748
20 9.99 81748 81748
21 9.98001 81748 81748
22 9.98001 81748 81748
23 9.98001 81748 81748
24 9.98001 81748 81748
25 9.98001 81748 81748
26 9.98001 81748 81748
27 9.98001 81748 81748
28 9.98001 81748 81748
29 9.98001 81748 81748
30 9.98001 81748 81748
31 9.97003 81748 81748
32 9.97003 81748 81748
33 9.97003 81748 81748
34 9.97003 81748 81748
35 9.97003 81748 81748
36 9.97003 81748 81748
37 9.97003 81748 81748
38 9.97003 81748 81748
39 9.97003 81748 81748
40 9.97003 81748 81748
41 9.96006 81748 81748
42 9.96006 81748 81748
43 9.96006 81748 81748
44 9.96006 81748 81748
45 9.96006 78291 78291
46 9.96006 77201 77201
47 9.96006 77201 77201
48 9.96006 77201 77201
49 9.96006 77201 77201
50 9.96006 77201 77201
51 9.9501 77201 77201
52 9.9501 77201 77201
53 9.9501 77201 77201
54 9.9501 77201 77201
55 9.9501 77201 77201
56 9.9501 77201 77201
57 9.9501 77201 77201
58 9.9501 77201 77201
59 9.9501 77017 77017
60 9.9501 71869 71869
61 9.94015 71869 71869
62 9.94015 71869 71869
63 9.94015 71262 71262
64 9.94015 71262 71262
65 9.94015 66293 66293
66 9.94015 63276 63276
67 9.94015 57300 57300
68 9.94015 57300 57300
69 9.94015 57300 57300
70 9.94015 57300 57300
71 9.93021 57300 57300
72 9.93021 57300 57300
73 9.93021 57300 57300
74 9.93021 57300 57300
75 9.93021 57300 57300
76 9.93021 57300 57300
77 9.93021 57300 57300
78 9.93021 57300 57300
79 9.93021 57300 57300
80 9.93021 57300 57300
81 9.92028 57300 57300
82 9.92028 57300 57300
83 9.92028 57300 57300
84 9.92028 57300 57300
85 9.92028 57300 57300
86 9.92028 57300 57300
87 9.92028 57300 57300
88 9.92028 57300 57300
89 9.92028 57300 57300
90 9.92028 57300 57300
91 9.91036 57300 57300
92 9.91036 57300 57300
93 9.91036 57300 57300
94 9.91036 57300 57300
95 9.91036 57300 57300
96 9.91036 57300 57300
97 9.91036 57300 57300
98 9.91036 57300 57300
99 9.91036 57300 57300
100 9.91036 57300 57300
101 9.90045 57300 57300
102 9.90045 57300 57300
103 9.90045 57300 57300
104 9.90045 57300 57300
105 9.90045 57300 57300
106 9.90045 57300 57300
107 9.90045 57300 57300
108 9.90045 57300 57300
109 9.90045 57300 57300
110 9.90045 57300 57300
111 9.89055 57300 57300
112 9.89055 57300 57300
113 9.89055 57300 57300
114 9.89055 57300 57300
115 9.89055 57300 57300
116 9.89055 57300 57300
117 9.89055 57300 57300
118 9.89055 57300 57300
119 9.89055 57300 57300
120 9.89055 57300 57300
121 9.88066 57300 57300
122 9.88066 57300 57300
123 9.88066 57300 57300
124 9.88066 57300 57300
125 9.88066 57300 57300
126 9.88066 57300 57300
127 9.88066 57300 57300
128 9.88066 57300 57300
129 9.88066 57300 57300
130 9.88066 57300 57300
131 9.87078 57300 57300
132 9.87078 57300 57300
133 9.87078 57300 57300
134 9.87078 57300 57300
135 9.87078 57300 57300
136 9.87078 57300 57300
137 9.87078 57300 57300
138 9.87078 57300 57300
139 9.87078 57300 57300
140 9.87078 57300 57300
141 9.86091 57300 57300
142 9.86091 57300 57300
143 9.86091 57300 57300
144 9.86091 57300 57300
145 9.86091 57300 57300
146 9.86091 57300 57300
147 9.86091 57300 57300
148 9.86091 57300 57300
149 9.86091 57300 57300
150 9.86091 57300 57300
151 9.85105 57300 57300
152 9.85105 57300 57300
153 9.85105 57300 57300
154 9.85105 57300 57300
155 9.85105 57300 57300
156 9.85105 57300 57300
157 9.85105 57300 57300
158 9.85105 57300 57300
159 9.85105 57300 57300
160 9.85105 57300 57300
161 9.84119 57300 57300
162 9.84119 57300 57300
163 9.84119 57300 57300
164 9.84119 57300 57300
165 9.84119 57300 57300
166 9.84119 57300 57300
167 9.84119 57300 57300
168 9.84119 57300 57300
169 9.84119 57300 57300
170 9.84119 57300 57300
171 9.83135 57300 57300
172 9.83135 57300 57300
173 9.83135 57300 57300
174 9.83135 57300 57300
175 9.83135 57300 57300
176 9.83135 57300 57300
177 9.83135 57300 57300
178 9.83135 57300 57300
179 9.83135 57300 57300
180 9.83135 57300 57300
181 9.82152 57300 57300
182 9.82152 57300 57300
183 9.82152 57300 57300
184 9.82152 57300 57300
185 9.82152 57300 57300
186 9.82152 57300 57300
187 9.82152 57300 57300
188 9.82152 57300 57300
189 9.82152 57300 57300
190 9.82152 57300 57300
191 9.8117 57300 57300
192 9.8117 57300 57300
193 9.8117 57300 57300
194 9.8117 57300 57300
195 9.8117 57300 57300
196 9.8117 57300 57300
197 9.8117 57300 57300
198 9.8117 57300 57300
199 9.8117 57300 57300
200 9.8117 57300 57300
201 9.80189 57300 57300
202 9.80189 57300 57300
203 9.80189 57300 57300
204 9.80189 57300 57300
205 9.80189 57300 57300
206 9.80189 57300 57300
207 9.80189 57300 57300
208 9.80189 57300 57300
209 9.80189 57300 57300
210 9.80189 57300 57300
211 9.79209 57300 57300
212 9.79209 57300 57300
213 9.79209 57300 57300
214 9.79209 57300 57300
215 9.79209 57300 57300
216 9.79209 57300 57300
217 9.79209 57300 57300
218 9.79209 57300 57300
219 9.79209 57300 57300
220 9.79209 57300 57300
221 9.78229 57300 57300
222 9.78229 57300 57300
223 9.78229 57300 57300
224 9.78229 57300 57300
